ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos,bens_declarados,despesas_campanha
2022,MG,631358,Rogério Suino,PSC,deputado federal,masculino,branca,suplente,1090,100000.0,70000.0
2022,PB,632964,Léo Gadelha,PSC,deputado federal,masculino,branca,suplente,65573,930000.0,2569498.5000000005
2022,MG,633431,Ricardo Miguel,PSC,deputado federal,masculino,branca,suplente,489,127118.19000000002,10000.0
2022,GO,639528,Prof Isabel Moreno,PSC,deputado federal,feminino,branca,suplente,461,33000.0,49766.0
2022,BA,649757,Luzany Da Saúde,PSC,deputado federal,feminino,parda,nao eleito,210,64000.0,36515.85
2022,RS,650941,Sgt. Edilson Zambarda,PSC,deputado federal,masculino,branca,nao eleito,1184,,14999.970000000001
2022,BA,652590,Marcio Pirão,PSC,deputado federal,masculino,branca,nao eleito,325,210000.0,9057.0
2022,MG,654741,Marcus Barbosa,PSC,deputado federal,masculino,parda,suplente,527,2000.0,8000.0
2022,MG,660880,Aucioni Protetora,PSC,deputado federal,feminino,branca,suplente,783,,99288.97
2022,GO,663235,Larissa Lafaiete,PSC,deputado federal,feminino,branca,suplente,2080,,1033052.44
2022,DF,670308,Glauce Franco,PSC,deputado federal,feminino,branca,nao eleito,164,40000.0,
2022,RS,682759,Ronaldo Ribeiro,PSC,deputado federal,masculino,branca,nao eleito,400,,30000.0
2022,AM,692786,Gelma Santos,PSC,deputado federal,feminino,parda,nao eleito,798,,35000.0
2022,SP,693871,Tio Valter,PSC,deputado federal,masculino,parda,suplente,370,950000.0,9663.73
2022,BA,694061,Cristina Reale ,PSC,deputado federal,feminino,parda,nao eleito,128,,14854.0
2022,MG,698870,Ademir Do Justinópolis,PSC,deputado federal,masculino,nao informado,suplente,758,313000.0,30000.0
2022,RS,702498,Emerson Correa,PSC,deputado federal,masculino,branca,nao eleito,1048,134755.63,55000.0
2022,SC,704022,Gama Borges,PSC,deputado federal,masculino,branca,nao eleito,577,20000.0,20298.019999999997
2022,PB,723378,Patrick Dorneles,PSC,deputado federal,masculino,branca,suplente,5544,,400667.86000000016
2022,ES,724472,Adonaldo Lopes,PSC,deputado federal,masculino,indigena,nao eleito,1575,,104319.1
2022,PR,724496,Capoeira,PSC,deputado federal,masculino,preta,nao eleito,704,,40000.0
2022,MA,725853,Ticiane Amadinha,PSC,deputado federal,feminino,branca,suplente,1513,110000.0,99970.6
2022,TO,731794,Professora Eliane,PSC,deputado federal,feminino,parda,nao eleito,693,401000.0,157425.56000000006
2022,CE,736387,Pastor Carvalho,PSC,deputado federal,masculino,parda,nao eleito,315,,16800.0
2022,RN,743682,Alex Da Renavin,PSC,deputado federal,masculino,branca,nao eleito,73,80009800.0,45989.0
2022,GO,743914,Valeriano Abreu,PSC,deputado federal,masculino,parda,suplente,6095,152000.0,308623.14
2022,PR,746326,Edimara Alves,PSC,deputado federal,feminino,preta,nao eleito,222,,20000.0
2022,DF,748132,Luciano Baglogui,PSC,deputado federal,masculino,parda,nao eleito,979,,
2022,SP,748180,Irmã Maria,PSC,deputado federal,feminino,preta,suplente,221,35000.0,29967.0
2022,RS,755385,Pastor Celso,PSC,deputado federal,masculino,parda,nao eleito,128,,
2022,PB,763596,Dra Joelma,PSC,deputado federal,feminino,parda,suplente,2598,280000.0,271000.0
2022,PR,764021,Luciana Almeida,PSC,deputado federal,feminino,branca,nao eleito,524,,23615.0
2022,SC,765544,Dr. Carlos Costa,PSC,deputado federal,masculino,branca,nao eleito,2656,13180.0,29827.6
2022,PE,777644,Assis,PSC,deputado federal,masculino,branca,nao eleito,8,,
2022,RR,787792,Luiza Torquato,PSC,deputado federal,feminino,parda,nao eleito,65,,
2022,PR,790953,Daniel Godri Jr,PSC,deputado federal,masculino,branca,nao eleito,8155,704564.09,221042.59
2022,PR,812743,Marisa Vieira,PSC,deputado federal,feminino,parda,nao eleito,184,,10000.0
2022,SP,817749,Dr Orlando Costa Dias,PSC,deputado federal,masculino,branca,suplente,16065,3607901.99,101680.44999999997
2022,SP,829295,Cris Costa,PSC,deputado federal,feminino,branca,suplente,98,,11100.0
2022,PR,837689,Bianca Portela,PSC,deputado federal,feminino,branca,nao eleito,2366,1014581.0,111073.17
2022,DF,842363,Ana Paula Batista ,PSC,deputado federal,feminino,parda,nao eleito,1464,,
2022,MA,844170,Alex Paiva,PSC,deputado federal,masculino,parda,suplente,5207,,100000.0
2022,RN,845911,Nathan Queiroz Capa Loka,PSC,deputado federal,masculino,branca,nao eleito,12225,,205000.0
2022,TO,846872,Doutora Fabiula,PSC,deputado federal,feminino,branca,nao eleito,464,384200.0,299882.94
2022,RS,852197,Tatiana Armos,PSC,deputado federal,feminino,branca,nao eleito,262,21000.0,14668.609999999999
2022,PI,861114,Léo Castello,PSC,deputado federal,masculino,parda,nao eleito,435,153000.0,500.0
2022,BA,861997,Kel Motorista,PSC,deputado federal,masculino,parda,nao eleito,872,10000.0,
2022,CE,863835,Jerivan Barroso,PSC,deputado federal,masculino,branca,nao eleito,1267,764000.0,10796.0
2022,MG,867718,Epa Araújo,PSC,deputado federal,masculino,branca,suplente,174,315000.0,10000.0
2022,CE,875498,Guedes Júnior,PSC,deputado federal,masculino,parda,nao eleito,69,,20000.0
2022,MG,878084,Cinthia Aquino,PSC,deputado federal,feminino,parda,suplente,232,,5000.0
2022,PI,887170,Eli Araújo,PSC,deputado federal,feminino,parda,nao eleito,17,57000.0,
2022,MG,888612,Waldonir Soares,PSC,deputado federal,masculino,branca,suplente,201,358170.1,10000.0
2022,BA,894745,Professor Cabo Soares,PSC,deputado federal,masculino,parda,nao eleito,164,250000.0,19686.0
2022,ES,903659,Jamir Malini,PSC,deputado federal,masculino,branca,nao eleito,1430,347287.97,500732.0
2022,PR,914398,Rafaelle Portugal,PSC,deputado federal,masculino,branca,nao eleito,280,,30209.98
2022,MG,914983,Claudia Filha Do Joao,PSC,deputado federal,feminino,branca,suplente,88,10000.0,10000.0
2022,AM,916332,Aluizio Barboza,PSC,deputado federal,masculino,branca,nao eleito,37,100000.0,
2022,GO,922851,Illana Mattos,PSC,deputado federal,feminino,preta,suplente,363,16134.36,49990.219999999994
2022,CE,925735,Tec Enfermagem Glenda Garcês,PSC,deputado federal,feminino,preta,nao eleito,388,100000.0,42072.0
2022,SP,929341,Rodolfo Despachante,PSC,deputado federal,masculino,parda,suplente,3381,1431350.0,62684.0
2022,RS,934595,Barbara Susan,PSC,deputado federal,feminino,branca,nao eleito,382,,29999.750000000004
2022,RJ,935212,Renato Montes,PSC,deputado federal,masculino,preta,nao eleito,163,6500.0,
2022,PR,935602,Darta Do Programa Do Darta,PSC,deputado federal,masculino,branca,nao eleito,756,,30780.0
2022,PI,936325,Maria Soares,PSC,deputado federal,feminino,parda,nao eleito,127,5000.0,
2022,TO,937298,Robert Delmondes,PSC,deputado federal,masculino,parda,nao eleito,2261,242000.0,202433.42
2022,PR,941729,Gustavo Strapasson,PSC,deputado federal,masculino,branca,nao eleito,1470,665000.0,35121.50000000001
2022,PR,941956,Vanessa Valero,PSC,deputado federal,feminino,branca,nao eleito,1358,191678.51,19994.0
2022,PA,954103,Gabriel Modesto,PSC,deputado federal,masculino,parda,nao eleito,3700,,50033.0
2022,MG,954335,Helena Moraes,PSC,deputado federal,feminino,parda,suplente,217,,30000.0
2022,PA,961564,Antonio Filho,PSC,deputado federal,masculino,parda,nao eleito,568,,10000.0
2022,PA,964613,Joao Bernardes,PSC,deputado federal,masculino,parda,nao eleito,195,245000.0,11560.0
2022,PR,968013,Lineu Santos,PSC,deputado federal,masculino,branca,nao eleito,83,516241.66,7540.9
2022,MG,970597,Maria Bernardes,PSC,deputado federal,feminino,preta,suplente,78,,
2022,MG,972072,Katia Dias,PSC,deputado federal,feminino,branca,suplente,32713,576783.6799999999,1388998.7299999988
2022,RS,975476,Arthur Cunha,PSC,deputado federal,masculino,branca,nao eleito,48,,
2022,SC,977415,Patrícia Klein,PSC,deputado federal,feminino,branca,nao eleito,2280,,50000.0
2022,RS,989493,Missionaria Fabiana Silva,PSC,deputado federal,feminino,parda,nao eleito,472,,10000.0
2022,GO,993178,Mateus Tobias,PSC,deputado federal,masculino,parda,suplente,3377,,399993.88000000006
2022,BA,1004054,Tenóbio,PSC,deputado federal,masculino,branca,nao eleito,15996,89500.0,556192.54
2022,MG,1008752,Kako Fernandes,PSC,deputado federal,masculino,parda,suplente,55,,
2022,MG,1009684,Leo Da Sandi,PSC,deputado federal,masculino,branca,suplente,123,,2230.0
2022,PA,1011154,Agripino,PSC,deputado federal,masculino,preta,nao eleito,713,,14000.0
2022,PA,1016084,Telmo Marinho,PSC,deputado federal,masculino,parda,nao eleito,327,,19966.0
2022,RJ,1016629,Xara Carlos Boa Morte,PSC,deputado federal,masculino,parda,nao eleito,1700,129679.51000000001,19947.0
2022,PR,1021637,Tia Jú,PSC,deputado federal,feminino,parda,nao eleito,133,78990.0,19260.0
2022,CE,1023081,Israel Frota,PSC,deputado federal,masculino,parda,nao eleito,1797,10233.0,52000.0
2022,PI,1028319,Cris Silva,PSC,deputado federal,feminino,parda,nao eleito,101,6000.0,
2022,MG,1033062,Michele Cardoso,PSC,deputado federal,feminino,nao informado,suplente,79,,
2022,MG,1038790,Duarte Júnior,PSC,deputado federal,masculino,branca,suplente,40826,750000.0,808449.04
2022,CE,1048618,Jessica Freitas,PSC,deputado federal,feminino,branca,nao eleito,362,20000.0,69900.0
2022,SP,1049971,Guiga Peixoto,PSC,deputado federal,masculino,branca,suplente,54849,1821753.8500000003,252232.02
2022,RJ,1053834,Cristiano Moragas,PSC,deputado federal,masculino,parda,nao eleito,1920,350.0,25000.0
2022,PE,1067040,Carla Patrícia,PSC,deputado federal,feminino,branca,nao eleito,73,,
2022,MG,1070193,Lucia Corrado,PSC,deputado federal,feminino,branca,suplente,224,,50000.0
2022,SP,1075080,Prof José Luiz Silveira,PSC,deputado federal,masculino,branca,suplente,328,220492.0,19952.600000000002
2022,SC,1077048,Ronei Souza,PSC,deputado federal,masculino,parda,nao eleito,560,,46641.65
2022,SP,1078073,Jerri Maximo Jd,PSC,deputado federal,masculino,parda,suplente,210,7500.0,10000.0
2022,MG,1081425,Pereira Sanches,PSC,deputado federal,masculino,preta,suplente,534,2327000.0,
2022,MG,1084460,Fabiano Tolentino,PSC,deputado federal,masculino,branca,suplente,35210,163127.47,839285.0900000001
2022,SC,1088969,Marcelo Werner,PSC,deputado federal,masculino,branca,nao eleito,23026,200930.78999999998,328380.97
2022,RJ,1091814,Mychelle,PSC,deputado federal,feminino,branca,nao eleito,274,1528890.4100000001,99973.95
2022,RJ,1094170,Caio Lopes,PSC,deputado federal,masculino,parda,nao eleito,1336,369857.8,24645.6
2022,CE,1095324,Mary Santos,PSC,deputado federal,feminino,parda,nao eleito,105,25000.0,15380.0
2022,PB,1105596,Jamerson Ferreira,PSC,deputado federal,masculino,branca,suplente,3344,49000.0,88469.20000000001
2022,RN,1105639,Preta Opressora,PSC,deputado federal,feminino,preta,nao eleito,129,,190000.0
