ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos
2022,MG,1149726,Rafael Duda,PSTU,deputado federal,masculino,branca,nao eleito,398
2022,MG,1153431,Júlia Rocha,PCB,deputado federal,feminino,parda,nao eleito,20629
2022,PI,1156447,Fran De Jesus,PSTU,deputado federal,feminino,amarela,nao eleito,207
2022,MA,1160515,Silmara,PSTU,deputado federal,feminino,parda,nao eleito,44
2022,GO,1168772,Laryssa Sampaio,UP,deputado federal,feminino,preta,nao eleito,1194
2022,MG,1168906,Livia Trindade,PSTU,deputado federal,feminino,preta,nao eleito,174
2022,RS,1171876,Priscila Voigt,UP,deputado federal,feminino,branca,nao eleito,1081
2022,PI,1172527,Thays Dias,UP,deputado federal,feminino,preta,nao eleito,878
2022,BA,1175446,Cheyenne Ayalla,PCB,deputado federal,feminino,preta,nao eleito,1615
2022,SP,1183794,Lisia Sakai,PCO,deputado federal,feminino,branca,nao eleito,203
2022,SC,1201837,Matheus Vetter,PCO,deputado federal,masculino,branca,nao eleito,152
2022,DF,1235599,Everton,PSTU,deputado federal,masculino,preta,nao eleito,95
2022,SE,1239692,Jennifer Bomfim,UP,deputado federal,feminino,preta,nao eleito,643
2022,PE,1262354,João Pedro,UP,deputado federal,masculino,parda,nao eleito,92
2022,SC,1271270,Jo Da Coletiva Rebeldia,PSTU,deputado federal,masculino,branca,nao eleito,424
2022,MG,1277239,Poliana Do Mlb,UP,deputado federal,feminino,branca,nao eleito,3302
2022,DF,1289069,Caio Sad,UP,deputado federal,masculino,parda,nao eleito,1472
2022,CE,1297046,Lino Alves ,PCO,deputado federal,masculino,parda,nao eleito,128
2022,RJ,1310873,Mari Nogueira,PCB,deputado federal,feminino,branca,nao eleito,2878
2022,PR,1333303,Vanessa Cristina,PCB,deputado federal,feminino,branca,nao eleito,2672
2022,PB,1344023,Vitória Poder Delas,UP,deputado federal,feminino,parda,nao eleito,1374
2022,RJ,1350263,Gabriel Marques,PCB,deputado federal,masculino,branca,nao eleito,1018
2022,MG,1372664,Ilma Francisca Da Silva,PCO,deputado federal,feminino,branca,nao eleito,63
2022,AL,1377542,Leonardo Filho,PCO,deputado federal,masculino,preta,nao eleito,19
2022,PE,1377584,Victória Pinheiro,PCB,deputado federal,feminino,branca,nao eleito,2576
2022,MG,1395597,Lívia Flor,PCB,deputado federal,feminino,branca,nao eleito,856
2022,MG,1401031,Iago Chaves,PCB,deputado federal,masculino,branca,nao eleito,391
2022,RS,1421123,Huno,PCB,deputado federal,masculino,amarela,nao eleito,107
2022,SP,1445095,Simone Souza,PCO,deputado federal,feminino,branca,nao eleito,109
2022,MG,1445504,Thomás Carrieri,PCB,deputado federal,masculino,branca,nao eleito,278
2022,RJ,1461635,Gustavo Pedro,PCB,deputado federal,masculino,branca,nao eleito,1360
2022,MG,1498961,Zulu,PCB,deputado federal,masculino,preta,nao eleito,267
2022,SP,1514471,Claudio Donizete,PSTU,deputado federal,masculino,preta,nao eleito,667
2022,SP,1515631,Riva,PCO,deputado federal,masculino,parda,nao eleito,76
2022,SP,1515773,Camilo Terra,PCB,deputado federal,masculino,branca,nao eleito,522
2022,SP,1520957,Beatriz Barbiere,PCB,deputado federal,feminino,preta,nao eleito,4498
2022,SP,1596238,Clenilza Panato,PCO,deputado federal,feminino,branca,nao eleito,177
2022,SP,1596642,Dr Claudimar Jaba Col Unidos,PCB,deputado federal,masculino,parda,nao eleito,1676
2022,MA,1599436,Dimas Cassimiro Do Nascimento,PCO,deputado federal,masculino,parda,nao eleito,63
2022,PE,1602769,Helio Cabral,PSTU,deputado federal,masculino,preta,nao eleito,447
2022,SP,1609884,Marcello Pablito,PSTU,deputado federal,masculino,preta,nao eleito,1256
2022,DF,1613695,Ricardo Machado,PCO,deputado federal,masculino,parda,nao eleito,118
2022,SP,1678826,Waldemir Soares Junior,PSTU,deputado federal,masculino,branca,nao eleito,744
2022,SP,1709245,Duarte Da Brasilândia,PSTU,deputado federal,masculino,preta,nao eleito,488
2022,PB,1712040,Jozivan Antero,UP,deputado federal,masculino,branca,nao eleito,1337
2022,MA,1770040,Tourin,PSTU,deputado federal,masculino,parda,nao eleito,77
2022,SP,1786582,Leandro Paggiaro,PCO,deputado federal,masculino,branca,nao eleito,44
2022,CE,1801780,Roberto Santos,PCB,deputado federal,masculino,parda,nao eleito,2591
2018,RR,531,Paulo Thadeu,PCB,deputado federal,masculino,parda,nao eleito,641
2018,PE,13364,Professor Josias Leandro,PCB,deputado federal,masculino,parda,nao eleito,422
2018,PE,16299,Paulo Camelo,PCB,deputado federal,masculino,branca,nao eleito,1334
2018,SE,27171,Professor Marques,PCB,deputado federal,masculino,parda,nao eleito,250
2018,SP,33771,Henrique Áreas,PCO,deputado federal,masculino,branca,nao eleito,0
2018,BA,38452,Danielly Crespy,PCO,deputado federal,feminino,branca,nao eleito,170
2018,SP,41233,Professora Flavia,PSTU,deputado federal,feminino,branca,nao eleito,3562
2018,SP,48133,Shirley Silverio,PSTU,deputado federal,feminino,preta,nao eleito,654
2018,RS,68895,Raimundo Poty,PCB,deputado federal,masculino,parda,suplente,834
2018,PE,71028,Amanda Palha,PCB,deputado federal,masculino,branca,nao eleito,12026
2018,SP,83629,Rafael Padial,PSTU,deputado federal,masculino,branca,nao eleito,341
2018,SP,117403,Caio Túlio,PCO,deputado federal,masculino,preta,nao eleito,0
2018,MG,122711,Marilia Domingues,PCO,deputado federal,feminino,branca,nao eleito,0
2018,CE,130267,Benedito Oliveira,PCB,deputado federal,masculino,preta,nao eleito,0
2018,SP,133048,Pedro Pereira,PCO,deputado federal,masculino,branca,nao eleito,0
2018,MG,169657,Giba,PSTU,deputado federal,masculino,preta,nao eleito,518
2018,RS,172720,Marco Silva,PSTU,deputado federal,masculino,branca,nao eleito,241
2018,MG,175097,Valério Vieira Dos Santos,PSTU,deputado federal,masculino,branca,nao eleito,393
2018,SP,187077,Larissa Machado,PCO,deputado federal,feminino,branca,nao eleito,0
2018,RS,190530,Marlise Ferreira,PSTU,deputado federal,feminino,branca,nao eleito,0
2018,AL,213867,Paulo Falcão,PSTU,deputado federal,masculino,branca,nao eleito,428
2018,RJ,245987,Milena Lorenzo,PCO,deputado federal,feminino,branca,nao eleito,0
2018,GO,256524,Professora Érika Nunes,PCO,deputado federal,feminino,preta,nao eleito,328
2018,RS,281073,Sadao Makino,PSTU,deputado federal,masculino,amarela,nao eleito,424
2018,RN,293809,Silvino Baú,PSTU,deputado federal,masculino,preta,nao eleito,979
2018,SP,342211,Mercedes Lima,PCB,deputado federal,feminino,branca,suplente,1677
2018,MA,374557,Katia Ribeiro,PSTU,deputado federal,feminino,parda,nao eleito,2319
2018,AP,447767,Jairo Palheta,PSTU,deputado federal,masculino,parda,nao eleito,378
2018,AM,469235,Evandro De Oliveira,PSTU,deputado federal,masculino,preta,nao eleito,436
2018,RS,479462,Éder Dias,PSTU,deputado federal,masculino,branca,nao eleito,281
2018,PI,489308,Douglas Moraes,PSTU,deputado federal,masculino,preta,nao eleito,790
2018,SP,508839,Antônio Macapá,PSTU,deputado federal,masculino,indigena,nao eleito,1384
2018,RJ,519309,Vinicius Camargo,PSTU,deputado federal,masculino,branca,nao eleito,0
2018,MG,534141,Professor Agnaldo Alexandre,PCB,deputado federal,masculino,branca,suplente,612
2018,DF,562586,Nirceu Werneck,PCO,deputado federal,masculino,preta,nao eleito,0
2018,PE,598004,Kelly Silva,PSTU,deputado federal,feminino,branca,nao eleito,389
2018,DF,648714,Jamil Magari Pcb,PCB,deputado federal,masculino,branca,nao eleito,206
2018,SP,652845,Inês Leal,PSTU,deputado federal,feminino,preta,nao eleito,393
2018,RR,663068,Bárbara Cabral,PSTU,deputado federal,feminino,parda,nao eleito,114
2018,SP,663175,Antônio Carlos,PCO,deputado federal,masculino,preta,nao eleito,0
2018,PE,686458,Amaro De Ipojuca,PSTU,deputado federal,masculino,preta,nao eleito,858
2018,SC,697609,Rodrigo Lima,PCB,deputado federal,masculino,branca,nao eleito,1576
2018,RS,745625,Leonardo,PCO,deputado federal,masculino,branca,nao eleito,0
2018,MA,745651,Domingos Filho,PSTU,deputado federal,masculino,preta,nao eleito,703
2018,MG,747218,Andréa Carla Ferreira,PSTU,deputado federal,feminino,branca,nao eleito,635
2018,RS,784309,Claudia Dos Santos,PSTU,deputado federal,feminino,branca,nao eleito,449
2018,MG,795897,Huender Franco Dias,PSTU,deputado federal,masculino,parda,nao eleito,1461
2018,SC,810446,Gabriela Santetti,PSTU,deputado federal,feminino,branca,nao eleito,1048
2018,DF,836964,Elcimara,PSTU,deputado federal,feminino,branca,nao eleito,734
2018,SE,846098,Fabão,PSTU,deputado federal,masculino,preta,nao eleito,276
2018,AP,898610,Leide,PSTU,deputado federal,feminino,preta,nao eleito,209
2018,DF,980899,Lia Aires,PCO,deputado federal,feminino,branca,nao eleito,0
2018,MG,993195,Fabricio Avelino,PCB,deputado federal,masculino,branca,suplente,855
2018,BA,1000230,Floriano De Andrade,PCO,deputado federal,masculino,branca,nao eleito,1026
2018,AL,1002528,Samuel Dasilvah,PCB,deputado federal,masculino,preta,nao eleito,0
2018,SE,1003903,Leidi Lima,PSTU,deputado federal,feminino,indigena,nao eleito,694
2018,SC,1033443,Jonas Orben,PSTU,deputado federal,masculino,branca,nao eleito,1011
2018,SP,1049138,Lavínia De Souza,PCO,deputado federal,feminino,branca,nao eleito,0
2018,GO,1068934,Andriele Qualhato,PCB,deputado federal,feminino,parda,nao eleito,1276
2018,MG,1070436,Wagner Schneider,PCB,deputado federal,masculino,branca,suplente,825
2018,SP,1127838,Wilson Ribeiro,PSTU,deputado federal,masculino,indigena,nao eleito,448
